😘	flirten|gesicht|kuss|küsschen|küssen|lieb|smiley|zuwerfen|kuss zuwerfendes gesicht|adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you|face blowing a kiss
😋	sich die lippen leckendes gesicht|delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy|face savoring food
😜	auge|gesicht|herausgestreckt|herausstrecken|smiley|zudrücken|zugedrückt|zunge|zwinkern|zwinkerndes gesicht mit herausgestreckter zunge|crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo|winking face with tongue
🤪	auge|augen|gesicht|groß|irre|klein|smiley|verrückt|irres gesicht|crazy|eye|eyes|face|goofy|large|small|zany|zany face
😎	cool|gesicht|lächeln|smiley|sonnenbrille|lächelndes gesicht mit sonnenbrille|awesome|beach|bright|bro|chilling|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win|smiling face with sunglasses
🥳	aufgeregt|feier|fest|fröhlich|geburtstag|gesicht|glückwunsch|hurra|hut|party|smiley|überraschung|partygesicht|bday|birthday|celebrate|celebration|excited|face|happy|hat|hooray|horn|partying|partying face
😏	feixen|flirten|gesicht|lächeln|mundwinkel|schief|smiley|süffisant|süffisant lächelndes gesicht|boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag|smirking face
😒	gesicht|langweilig|smiley|traurig|unglücklich|unzufrieden|verstimmt|verstimmtes gesicht|...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever|unamused face
😢	gesicht|smiley|träne|traurig|weinen|weinendes gesicht|awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy|crying face
😭	flennen|gesicht|heulen|schluchzen|smiley|tränen|tränenfluss|traurig|weinen|heulendes gesicht|bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy|loudly crying face
😤	erleichtert|gesicht|gewonnen|schnaubendes gesicht|anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won|face with steam from nose
😡	schmollendes gesicht|anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset|enraged face
🥺	anflehen|augen|betteln|bettelnd|bitte|bitten|flehend|gesicht|groß|kulleraugen|smiley|traurig|welpenaugen|bettelndes gesicht|begging|big|eyes|face|mercy|not|pleading|please|pretty|puppy|sad|why|pleading face
😱	angst|ängstlich|gesicht|munch|omg|panik|schrei|schreien|schreiend|vor angst schreiendes gesicht|epic|face|fear|fearful|scared|scream|screamer|screaming|shocked|surprised|woah|face screaming in fear
😴	dösen|einschlafen|gähnen|gesicht|gute nacht|langweilig|mittagsschlaf|müde|nickerchen|schlaf|schlafen|smiley|zzz|schlafendes gesicht|bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|sleeping face
🤔	fragen|gesicht|grübeln|hm|komisch|nachdenken|nachdenklich|smiley|wundern|nachdenkendes gesicht|chin|consider|face|hmm|ponder|pondering|thinking|wondering|thinking face
🤗	drücken|gesicht|hände|smiley|umarmen|umarmung|gesicht mit umarmenden händen|face|hands|hug|hugging|open|smiling|smiling face with open hands
🤭	gesicht|haha|hand|hihi|huch|kichern|lachen|mund|rot|smiley|verlegen|wangen|verlegen kicherndes gesicht|face|giggle|giggling|mouth|oops|realization|secret|shock|sudden|surprise|whoops|face with hand over mouth
🤫	ermahnen|finger|gesicht|leise|psst|pst|ruhe|ruhig|sch|smiley|ermahnendes gesicht|face|quiet|shh|shush|shushing|shushing face
🤐	geheimnis|gesicht|halten|mund|reißverschluss|schweigen|smiley|wahren|gesicht mit reißverschlussmund|face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth|zipper-mouth face
😷	arzt|atemschutzmaske|bazillen|erkältet|gesicht|krank|krankheit|mund|mundschutz|schutzmaske|smiley|viren|virus|gesicht mit atemschutzmaske|cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick|face with medical mask
🤒	fieber|gesicht|krank|messen|smiley|thermometer|gesicht mit fieberthermometer|face|ill|sick|face with thermometer
🥵	erhitzt|fieber|fiebrig|gesicht|heiß|herausstrecken|hitze|hitzschlag|rot|schnaufen|schwitzen|smiley|zunge|schwitzendes gesicht|dying|face|feverish|heat|hot|panting|red-faced|stroke|sweating|tongue|hot face
🥶	bibbern|blau|eisig|erfrieren|frieren|frösteln|frostig|gesicht|kalt|smiley|unter null|zähne|zähneklappern|zittern|frierendes gesicht|blue|blue-faced|cold|face|freezing|frostbite|icicles|subzero|teeth|cold face
😳	augen|erröten|gesicht|groß|peinlich|rot|scham|schämen|smiley|überrascht|verlegen|wangen|errötetes gesicht mit großen augen|amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow|flushed face
🤯	entsetzt|explodieren|geschockt|gesicht|kopf|schock|schockiert|smiley|überwältigt|unglaublich|explodierender kopf|blown|explode|exploding|head|mind|mindblown|no|shocked|way|exploding head
🙄	augen|genervt|gesicht|meinetwegen|nerv|ohje|rollen|smiley|verdrehen|verrollen|augen verdrehendes gesicht|eyeroll|eyes|face|rolling|shade|ugh|whatever|face with rolling eyes
💩	kot|kothaufen|mist|bs|comic|doo|dung|face|fml|monster|pile|poo|poop|smelly|smh|stink|stinks|stinky|turd|pile of poo
👋	auf wiedersehen|bis später|ciao|guten tag|hallo|hand|hey|hi|tschüs|tschüss|winken|winkende hand|bye|cya|g2g|greetings|gtg|hello|later|outtie|ttfn|ttyl|wave|yo|you|waving hand
👍	daumen|daumen hoch|einverstanden|finger|gut|hand|in ordnung|jawohl|klar|klasse|like|nach oben|ok|super|top|+1|good|thumb|up|yes|thumbs up
👎	daumen|daumen runter|hand|nach unten|schlecht|-1|bad|dislike|down|good|no|nope|thumb|thumbs|thumbs down
👌	exzellent|finger|genial|hand|in ordnung|natürlich|ok|ok-zeichen|perfekt|super|awesome|bet|dope|fleek|fosho|got|gotcha|legit|okay|pinch|rad|sure|sweet|three|ok hand
✌	sieg|v|victory|victory-geste|hand|peace|victory hand
🤞	finger|gekreuzt|hand|hand mit gekreuzten fingern|cross|crossed|fingers|luck|crossed fingers
🤘	corna|finger|hand|heavy|hörner|mano cornuta|metal|metalhand|pommesgabel|rock|teufel|teufelsgruß|yeah|horns|rock-on|sign|sign of the horns
👊	absolut|bro|faust|geballt|hand|korrekt|zustimmen|geballte faust|absolutely|agree|boom|bruh|bump|clenched|correct|fist|knuckle|oncoming|pound|punch|rock|ttyl|oncoming fist
✊	erhoben|faust|hand|kampf|solidarität|erhobene faust|clenched|fist|punch|raised|solidarity|raised fist
👏	applaudieren|applaus|beifall|gratulation|großartig|gut|hand|hände|klatschen|klatschend|toll|klatschende hände|applause|approval|awesome|clap|congrats|congratulations|excited|good|great|homie|job|nice|prayed|well|yay|clapping hands
🙌	erhoben|feiern|geste|hände|handflächen|hurra|zwei|zwei erhobene handflächen|celebration|gesture|hand|hands|hooray|praise|raised|raising|raising hands
🙏	beten|betend|bitten|danke|danken|gebet|gefaltet|grüßen|handflächen|zusammengelegt|zusammengelegte handflächen|appreciate|ask|beg|blessed|bow|cmon|five|folded|gesture|hand|high|please|pray|thanks|thx|folded hands
💪	arm|bizeps|bodybuilder|bro|fitnessstudio|gewichtheben|muckies|muskeln|stark|training|angespannter bizeps|beast|bench|biceps|curls|flex|gains|gym|jacked|muscle|press|ripped|strong|weightlift|flexed biceps
👀	auge|augen|gesicht|gucken|schauen|sehen|body|eye|eyes|face|googly|look|looking|omg|peep|see|seeing
👶	baby|gesicht|jung|kind|kleinkind|locke|babies|children|goo|infant|newborn|pregnant|young
🐶	hundegesicht|adorbs|animal|dog|face|pet|puppies|puppy|dog face
🐱	katzengesicht|animal|cat|face|kitten|kitty|pet|cat face
🐭	mäusegesicht|animal|face|mouse|mouse face
🐹	gesicht|hamster|hamstergesicht|tier|animal|face|pet
🐰	hasengesicht|animal|bunny|face|pet|rabbit|rabbit face
🦊	fuchs|fuchsgesicht|gesicht|tier|animal|face|fox
🐻	bär|bärengesicht|gesicht|tier|animal|bear|face|grizzly|growl|honey
🐼	gesicht|panda|pandabär|pandagesicht|tier|animal|bamboo|face
🐨	koala|animal|australia|bear|down|face|marsupial|under
🐯	tigergesicht|animal|big|cat|face|predator|tiger|tiger face
🦁	löwe|alpha|animal|face|leo|lion|mane|order|rawr|roar|safari|strong|zodiac
🐮	gesicht|kuh|kuhgesicht|tier|animal|cow|face|farm|milk|moo|cow face
🐷	gesicht|schwein|schweinegesicht|tier|animal|bacon|face|farm|pig|pork|pig face
🐸	frosch|animal|face|frog
🐵	affengesicht|animal|banana|face|monkey|monkey face
🙈	affe|affengesicht|augen|böse|geheimnis|gemein|geste|nein|omg|sehen|tier|verboten|vergessen|verstecken|zuhalten|sich die augen zuhaltendes affengesicht|embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|prohibited|scared|secret|smh|watch|see-no-evil monkey
🙉	affe|affengesicht|böse|geheimnis|gemein|geste|hören|nein|ohren|tier|verboten|zuhalten|zuhören|sich die ohren zuhaltendes affengesicht|animal|ears|evil|face|forbidden|gesture|hear|listen|monkey|no|not|prohibited|secret|shh|tmi|hear-no-evil monkey
🙊	affe|affengesicht|böse|geheimnis|gemein|geste|hand|heimlich|leise|mund|nein|sagen|sprechen|still|tier|ups|verboten|zuhalten|sich den mund zuhaltendes affengesicht|animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|stealth|speak-no-evil monkey
🐔	huhn|animal|bird|chicken|ornithology
🐧	pinguin|animal|antarctica|bird|ornithology|penguin
🐦	vogel|animal|bird|ornithology
🦆	ente|animal|bird|duck|ornithology
🦅	adler|animal|bird|eagle|ornithology
🦉	eule|animal|bird|ornithology|owl|wise
🦇	fledermaus|tier|vampir|animal|bat|vampire
🐺	gesicht|tier|wolf|wolfsgesicht|animal|face
🐗	wildschwein|animal|boar|pig
🐴	pferdegesicht|animal|dressage|equine|face|farm|horse|horses|horse face
🦄	einhorn|einhorngesicht|gesicht|face|unicorn
🐝	biene|animal|bee|bumblebee|honey|honeybee|insect|nature|spring
🐛	raupe|animal|bug|garden|insect
🦋	schmetterling|butterfly|insect|pretty
🐌	schnecke|animal|escargot|garden|nature|slug|snail
🐞	marienkäfer|animal|beetle|garden|insect|lady|ladybird|ladybug|nature|lady beetle
🐢	schildkröte|tier|animal|terrapin|tortoise|turtle
🐍	schlange|schlangenträger|sternzeichen|tier|tierkreis|animal|bearer|ophiuchus|serpent|snake|zodiac
🦎	eidechse|reptil|animal|lizard|reptile
🐙	oktopus|animal|creature|ocean|octopus
🦑	tintenfisch|animal|food|mollusk|squid
🦀	krebs|cancer|crab|zodiac
🐠	fisch|tier|tropenfisch|animal|fish|fishes|tropical|tropical fish
🐟	fisch|animal|dinner|fish|fishes|fishing|pisces|zodiac
🐬	delfin|animal|beach|dolphin|flipper|ocean
🐳	blasender wal|animal|beach|face|ocean|spouting|whale|spouting whale
🐋	wal|animal|beach|ocean|whale
🦈	hai|animal|fish|shark
🐊	krokodil|animal|crocodile|zoo
🦒	giraffe|animal|spots
🐘	elefant|tier|animal|elephant
🌵	kaktus|cactus|desert|drought|nature|plant
🌲	nadelbaum|christmas|evergreen|forest|pine|tree|evergreen tree
🌳	laubbaum|deciduous|forest|green|habitat|shedding|tree|deciduous tree
🌴	palme|beach|palm|plant|tree|tropical|palm tree
🌱	junge pflanze|spross|plant|sapling|seedling|sprout|young
🌿	kräuter|herb|leaf|plant
🍀	glücksklee|4|clover|four|four-leaf|irish|leaf|lucky|plant|four leaf clover
🌷	blume|blüte|pflanze|tulpe|blossom|flower|growth|plant|tulip
🌹	blume|blüte|pflanze|rose|beauty|elegant|flower|love|plant|red|valentine
🌺	hibiskus|flower|hibiscus|plant
🌸	blume|blüte|kirschblüte|kirsche|pflanze|blossom|cherry|flower|plant|spring|springtime|cherry blossom
🌼	gelbe blüte|blossom|buttercup|dandelion|flower|plant
🌻	blume|blüte|pflanze|sonne|sonnenblume|flower|outdoors|plant|sun|sunflower
🌞	sonne mit gesicht|beach|bright|day|face|heat|shine|sun|sunny|sunshine|weather|sun with face
🌙	mondsichel|crescent|moon|ramadan|space|crescent moon
⭐	weißer mittelgroßer stern|astronomy|medium|star|stars|white
✨	funkelnde sterne|*|magic|sparkle|sparkles|star
⚡	hochspannung|danger|electric|electricity|high|lightning|nature|thunder|thunderbolt|voltage|zap|high voltage
🔥	feuer|af|burn|fire|flame|hot|lit|litaf|tool
🌈	regenbogen|wetter|gay|genderqueer|glbt|glbtq|lesbian|lgbt|lgbtq|lgbtqia|nature|pride|queer|rain|rainbow|trans|transgender|weather
☀	sonne|sonnenstrahlen|sonnig|strahlen|wetter|bright|rays|space|sun|sunny|weather
☁	wetter|wolke|wolkig|cloud|weather
❄	flocke|kalt|schnee|schneeflocke|schneien|wetter|winter|cold|snow|snowflake|weather
☃	schnee|schneemann|schneemann im schnee|cold|man|snow|snowman
🌊	meer|welle|nature|ocean|surf|surfer|surfing|water|wave|water wave
🍏	apfel|frucht|gesund|grün|grüner apfel|obst|apple|fruit|green|green apple
🍎	apfel|frucht|obst|rot|roter apfel|apple|diet|food|fruit|health|red|ripe|red apple
🍐	birne|frucht|obst|fruit|pear
🍊	apfelsine|frucht|mandarine|obst|orange|vitamin|c|citrus|fruit|nectarine|tangerine
🍋	frucht|obst|sauer|zitrone|zitrusfrucht|citrus|fruit|lemon|sour
🍌	banane|frucht|obst|schale|banana|fruit|potassium
🍉	frucht|melone|obst|wasser|wassermelone|fruit|watermelon
🍇	frucht|obst|traube|trauben|wein|dionysus|fruit|grape|grapes
🍓	beere|erdbeere|essen|frucht|obst|berry|fruit|strawberry
🍈	cantaloupe|frucht|honigmelone|melone|obst|fruit|melon
🍒	frucht|kirsche|kirschen|obst|berries|cherries|cherry|fruit|red
🍑	frucht|obst|pfirsich|fruit|peach
🥭	essen|frucht|früchte|mango|obst|shaker|tropisch|food|fruit|tropical
🍍	ananas|frucht|obst|colada|fruit|pina|pineapple|tropical
🥥	colada|essen|frucht|kokosnuss|palme|piña|coconut|palm
🥝	frucht|kiwi|obst|food|fruit|kiwi fruit
🍅	essen|gemüse|obst|tomate|food|fruit|tomato|vegetable
🍆	aubergine|gemüse|eggplant|vegetable
🥑	avocado|essen|frucht|food|fruit
🥦	broccoli|brokkoli|essen|gemüse|gemüsekohl|kohl|cabbage|wild
🥬	blattgemüse|blattgrün|essen|gemüse|grünkohl|grünzeug|kohl|kraut|mangold|pak choi|pok choi|salat|salatblatt|spinat|bok|burgers|cabbage|choy|green|kale|leafy|lettuce|salad|leafy green
🥒	essen|gemüse|gurke|scheiben|cucumber|food|pickle|vegetable
🌶	chili|paprika|peperoni|pfeffer|pflanze|scharf|hot|pepper|hot pepper
🌽	gemüse|mais|maiskolben|corn|crops|ear|farm|maize|maze|ear of corn
🥕	gemüse|karotte|möhre|mohrrübe|carrot|food|vegetable
🧄	essen|geschmack|knoblauch|lebensmittel|nahrung|würze|zutat|flavoring|garlic
🧅	essen|geschmack|gewürz|lebensmittel|nahrung|würze|zwiebel|flavoring|onion
🥔	essen|gemüse|kartoffel|food|potato|vegetable
🍠	essen|gemüse|geröstet|süßkartoffel|geröstete süßkartoffel|food|potato|roasted|sweet|roasted sweet potato
🥐	croissant|bread|breakfast|crescent|food|french|roll
🍞	brot|brotlaib|essen|kohlenhydrate|laib brot|toast|weißbrot|weizen|bread|carbs|food|grain|loaf|restaurant|wheat
🥖	baguette|brot|französisch|frühstück|bread|food|french|baguette bread
🥨	brezel|convoluted|pretzel|twisted
🧀	käse|käsestück|cheese|wedge|cheese wedge
🥚	ei|frühstück|frühstücksei|breakfast|egg|food
🍳	braten|bratpfanne|kochen|pfanne|spiegelei|spiegelei in bratpfanne|breakfast|cooking|easy|egg|fry|frying|over|pan|restaurant|side|sunny|up
🥞	crepe|eierpfannkuchen|essen|pfannkuchen|breakfast|crêpe|food|hotcake|pancake|pancakes
🥓	bacon|essen|frühstücksspeck|speck|speckstreifen|breakfast|food|meat
🥩	essen|fleisch|fleischstück|kotelett|lammkotelett|rot|schnitzel|schweinekotelett|steak|chop|cut|lambchop|meat|porkchop|red|cut of meat
🍗	fleisch|geflügel|hähnchenschenkel|hühnerbein|restaurant|bone|chicken|drumstick|hungry|leg|poultry|turkey|poultry leg
🍖	fleisch|fleischhachse|knochen|restaurant|bone|meat|meat on bone
🌭	essen|frankfurter|hot dog|hotdog|wurst|würstchen|dog|hot|sausage
🍔	burger|fast food|hamburger|restaurant|eat|fast|food|hungry
🍟	fritten|pommes|pommes frites|fast|food|french|fries|french fries
🍕	pizza|pizzastück|pizzeria|cheese|food|hungry|pepperoni|slice
🥪	sandwich|bread
🌮	essen|mexikanisch|taco|mexican
🌯	burrito|essen|mexikanisch|mexican|wrap
🥗	blattgemüse|essen|gesund|grün|salat|food|green|salad|green salad
🍝	essse|nudeln mit tomatensoße|pasta|restaurant|spaghetti|food|meatballs
🍜	chinesisches essen|dampfend|eiernudeln|nudeln|schüssel|schüssel und essstäbchen|stäbchen|suppe|bowl|chopsticks|food|noodle|pho|ramen|soup|steaming|steaming bowl
🍲	topf mit essen|food|pot|soup|stew|pot of food
🍣	japanisches gericht|restaurant|sushi|food
🍱	bento|bento-box|japanisches essen|sushi|box|food|bento box
🍤	frittierte garnele|fried|prawn|shrimp|tempura|fried shrimp
🍙	essen|japanisch|reis|reisbällchen|ball|food|japanese|rice|rice ball
🍚	essen|reis|reis in schüssel|cooked|food|rice|cooked rice
🍘	cracker|reiscracker|food|rice|rice cracker
🍢	japanisches gericht|oden|restaurant|food|kebab|seafood|skewer|stick
🍡	dango|japanisches gericht|mochi-kugeln auf einem spieß|restaurant|dessert|japanese|skewer|stick|sweet
🍧	eis|sorbet|wassereis|zerstoßen|dessert|ice|restaurant|shaved|sweet|shaved ice
🍨	eis|eisbecher|eiscreme|eisdiele|cream|dessert|food|ice|restaurant|sweet|ice cream
🍦	eis|softeis|cream|dessert|food|ice|icecream|restaurant|serve|soft|sweet|soft ice cream
🍰	kuchen|kuchenstück|stück torte|torte|tortenstück|cake|dessert|pastry|shortcake|slice|sweet
🎂	essen|feier|geburtstag|geburtstagskuchen|geburtstagstorte|happy birthday|kerzen|kuchen|lebensmittel|torte|bday|birthday|cake|celebration|dessert|happy|pastry|sweet|birthday cake
🍮	dessert|flan|nachspeise|nachtisch|pudding|schokolade|soße|custard|sweet
🍭	lolli|lutscher|süßigkeit|candy|dessert|food|lollipop|restaurant|sweet
🍬	bonbon|süß|süßigkeit|candy|cavities|dessert|halloween|restaurant|sweet|tooth|wrapper
🍫	essen|schokolade|schokoladentafel|süßigkeit|bar|candy|chocolate|dessert|halloween|sweet|tooth|chocolate bar
🍿	kino|popcorn|snack|corn|movie|pop
🧂	gesalzen|geschmack|gewürz|salz|salzig|salzstreuer|würze|zutat|condiment|flavor|mad|salt|salty|shaker|taste|upset
🥜	erdnuss|essen|food|nut|peanut|peanuts|vegetable
🍯	honig|honigtopf|süß|barrel|bear|food|honey|honeypot|jar|pot|sweet|honey pot
🥛	getränk|glas|milch|trinken|glas milch|drink|glass|milk|glass of milk
☕	cafe|dampfend|getränk|heiß|heißgetränk|kaffee|tasse|tee|trinken|beverage|caffeine|chai|coffee|drink|hot|morning|steaming|tea|hot beverage
🍵	getränk|grüner tee|oolong|schale|tee|teetasse|teetasse ohne henkel|beverage|cup|drink|handle|tea|teacup|teacup without handle
🥤	becher mit strohhalm|cup|drink|juice|malt|soda|soft|straw|water|cup with straw
🍶	sake-flasche mit tasse|bar|beverage|bottle|cup|drink|restaurant|sake
🍺	bar|bier|bierkrug|krug|oktoberfest|prost|weizenbier|alcohol|ale|beer|booze|drink|drinking|drinks|mug|octoberfest|pint|stein|summer|beer mug
🍻	anstoßen|bier|bierkrüge|oktoberfest|prosit|prost|weizen|alcohol|bar|beer|booze|bottoms|cheers|clink|clinking|drinking|drinks|mugs|clinking beer mugs
🥂	anstoßen|feier|feiern|getränk|gläser|prost|sekt|sektgläser|celebrate|clink|clinking|drink|glass|glasses|clinking glasses
🍷	alkohol|bar|glas|wein|weinglas|alcohol|beverage|booze|club|drink|drinking|drinks|glass|restaurant|wine|wine glass
🥃	bar|schnaps|trinkglas|whiskey|glass|liquor|scotch|shot|tumbler|whisky|tumbler glass
🍸	bar|cocktail|cocktailglas|drink|martini|alcohol|booze|club|drinking|drinks|glass|mad|men|cocktail glass
🍹	bar|cocktail|exotisches getränk|alcohol|booze|club|drink|drinking|drinks|drunk|mai|party|tai|tropical|tropics|tropical drink
🏀	ball|basketball|korb|sport|hoop
🏈	football|american|ball|bowl|sport|super|american football
🎾	ball|sport|tennis|tennisball|racquet
🏐	volleyball|ball|game
🏉	ball|rugby|rugbyball|sport|football|rugby football
🎱	billardkugel|8|8ball|ball|billiard|eight|game|pool|pool 8 ball
🏓	tischtennis|ball|bat|game|paddle|ping|pingpong|pong|table|tennis|ping pong
🏸	badminton|federball|schläger|birdie|game|racquet|shuttlecock
🏒	eishockey|game|hockey|ice|puck|stick|ice hockey
🏑	feldhockey|hockey|schläger|ball|field|game|stick|field hockey
🏏	ball|cricket|kricket|schläger|bat|game|cricket game
⛳	golffahne|golfplatz|flag|golf|hole|sport|flag in hole
🏹	bogen|pfeil|pfeil und bogen|archer|archery|arrow|bow|sagittarius|tool|weapon|zodiac|bow and arrow
🎣	angel mit fisch|angeln|entspannung|entertainment|fish|fishing|pole|sport|fishing pole
🥊	boxen|boxhandschuh|handschuh|sport|boxing|glove|boxing glove
🥋	judo|kampfkunst|kampfsport|kampfsportanzug|karate|taekwondo|arts|martial|uniform|martial arts uniform
🎽	laufshirt|athletics|running|sash|shirt|running shirt
🛷	schlitten|luge|sled|sledge|sleigh|snow|toboggan
⛸	eislauf|schlittschuh|ice|skate|skating|ice skate
🎿	ski|ski und stöcke|skis|snow|sport
🏂	snowboard|snowboarden|snowboarder|snowboarder(in)|snowboarderin|sport|ski|snow
🏇	pferderennen|horse|jockey|racehorse|racing|riding|sport|horse racing
🏄	surfer(in)|beach|ocean|person|sport|surf|surfer|surfing|swell|waves|person surfing
🏊	schwimmer(in)|freestyle|person|sport|swim|swimmer|swimming|triathlon|person swimming
🚣	person im ruderboot|boat|canoe|cruise|fishing|lake|oar|paddle|person|raft|river|row|rowboat|rowing|person rowing boat
🚴	radfahrer(in)|bicycle|bicyclist|bike|biking|cycle|cyclist|person|riding|sport|person biking
🚵	mountainbiker(in)|bicycle|bicyclist|bike|biking|cycle|cyclist|mountain|person|riding|sport|person mountain biking
🎪	unterhaltung|zelt|zirkus|zirkuszelt|circus|tent|circus tent
🎭	kunst|masken|theater|unterhaltung|actor|actress|art|arts|entertainment|mask|performing|theatre|thespian|performing arts
🎨	farben|kunst|künstler|mischpalette|palette|art|artist|artsy|arty|colorful|creative|entertainment|museum|painter|painting|artist palette
🎬	film|filmklappe|klappe|unterhaltung|action|board|clapper|movie|clapper board
🎤	karaoke|mikrofon|singen|unterhaltung|mic|microphone|music|sing|sound
🎧	kopfhörer|musik|unterhaltung|earbud|headphone|sound
🎼	musik|noten|notenschlüssel|partitur|violinschlüssel|music|musical|note|score|musical score
🎹	klaviatur|instrument|keyboard|music|musical|piano|musical keyboard
🥁	drumsticks|instrument|musik|schlägel|sticks|trommel|trommelstöcke|drum|music
🎷	instrument|musik|musikinstrument|saxofon|music|sax|saxophone
🎺	instrument|musik|musikinstrument|trompete|music|trumpet
🎸	gitarre|instrument|musik|musikinstrument|guitar|music|strat
🎻	geige|instrument|music|violin
🎲	spielwürfel|dice|die|entertainment|game|game die
🎯	darts|bull|bullseye|dart|direct|entertainment|game|hit|target
🎳	bowling|bowlingkugel|kugel|spiel|ball|game|sport|strike
🎮	gamepad|gaming|unterhaltung|videospiel|controller|entertainment|game|video|video game
🎰	glücksspiel|spiel|spielautomat|casino|gamble|gambling|game|machine|slot|slots|slot machine
🧩	puzzleteil|clue|interlocking|jigsaw|piece|puzzle|puzzle piece
🚗	auto|automobile|car|driving|vehicle
🚕	auto|fahrzeug|taxi|cab|cabbie|car|drive|vehicle|yellow
🚙	wohnmobil|car|drive|recreational|sport|sportutility|utility|vehicle|sport utility vehicle
🚌	bus|school|vehicle
🚎	oberleitungsbus|bus|tram|trolley|trolleybus
🏎	autorennen|rennauto|car|racing|zoom|racing car
